,Explained Variance,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Mean Squared Log Error,Median Absolute Error,R-Squared,Mean Absolute Percentage Error,D-Squared Absolute Error Score,D-Squared Pinball Score,Raw Mean Absolute Percentage Error,Error Ensemble
LinearRegression~p809,-0.2674468784681934,-1.17207216168464,-0.693831305038042,-1.1688793274708278,-0.5191960631551565,-1.1840645666326952,-0.194418945610213,-0.6682928674234779,-0.0,-0.0,0.043018352926560484,-0.9865440273661994
LinearRegression~p996,-0.19869142738202783,-1.2561981056014884,-0.6982642090425856,-1.2532257861157952,-0.5280136972255494,-1.2558252403871937,-0.19433600066181209,-0.7447830070781842,-0.0,-0.0,0.011799816773285232,-1.0396727684163218
LinearRegression~p514,-0.2674468784681934,1.6728147046373023,1.5938702426996987,1.6755507484056835,-0.13761480189028488,1.6740104022797544,-0.194418945610213,-0.15512581839683412,-0.0,-0.0,0.25246134969748024,1.0571606033267698
LinearRegression~p126,-0.2674468784681934,-0.6605488729799598,-0.5907074190133461,-0.6632973439384738,-0.5062281276569108,-0.6493202551146521,-0.194418945610213,-0.608283531936254,-0.0,-0.0,0.06751044586689095,-0.6833583655697861
LinearRegression~p710,-0.2437528622668001,-0.019413732355097257,-0.27172090273297506,-0.02289781837260693,-0.25406943673321786,-0.01607469809372193,-0.1563111040340375,-0.2360611931399531,-0.0,-0.0,0.2194285439802602,-0.1771257799583148
LinearRegression~p406,2.423487559336807,-0.1870358250530502,-0.3738767586321342,-0.18761281193211182,0.14884578108316576,-0.16586565737385017,0.26959692143080843,0.4265175570258369,-0.0,-0.0,0.48985214053555753,0.17076079755122436
LinearRegression~p46,-0.2674468784681934,0.27837299345523075,-0.04985515716727493,0.27713088998821495,0.584176674756563,0.26115735819328045,-0.194418945610213,0.8521107038174385,-0.0,-0.0,0.6635528959489686,0.34723188231360047
LinearRegression~p887,-0.2674468784681934,-0.33279315139915483,-0.4543780150606044,-0.3367909032231959,-0.40817069347188806,-0.32398917841769354,-0.194418945610213,-0.404157830038378,-0.0,-0.0,0.1508219110214645,-0.43428963434257517
LinearRegression~p653,0.2720837983194576,-0.7291202780646239,-0.6114941745930618,-0.7288912390896257,-0.4220917380284281,-0.7204587375874604,-0.16314614255800813,-0.423577948673776,-0.0,-0.0,0.14289582174437734,-0.6276463430341127
LinearRegression~p620,-0.2674468784681934,2.68330026818337,3.410268161619716,2.687930050891101,1.1646420606716823,2.721582241049967,-0.194418945610213,1.2940248662343878,-0.0,-0.0,0.8439148787919304,2.3837671169560375
LinearRegression~p766,-0.054292094570349766,-0.9319468024007685,-0.6602719360742284,-0.9240153708845802,-0.4977470230754451,-0.9385635698502253,-0.19094911771017256,-0.5665817971694965,-0.0,-0.0,0.08453051041831203,-0.8124173511297555
LinearRegression~p1028,-0.24171365918564863,-0.7556057586515683,-0.620606853393671,-0.7600929969819975,-0.4726835097990598,-0.7509390920111795,-0.18741310941664296,-0.5141563028925423,-0.0,-0.0,0.10592734922428904,-0.7140239269784879
LinearRegression~p389,-0.2674468784681934,-1.098824635186821,-0.6855897536599078,-1.083203715617165,-0.5237964318975946,-1.0877831614666345,-0.194418945610213,-0.7010407563244183,-0.0,-0.0,0.029652693532911494,-0.947245006847187
LinearRegression~p463,-0.2674468784681934,1.102250756422097,0.7978605936736025,1.101662164176224,-0.07395739117252807,1.0907457711891486,-0.194418945610213,-0.11033400169801132,-0.0,-0.0,0.2707425942512943,0.638412769483318
LinearRegression~p40,-0.2305957400662953,2.1461786717441096,2.3752322865601627,2.1475342985450547,0.9065908144066034,2.1328702690183867,0.07965584214134544,0.28268471766491665,-0.0,-0.0,0.4311484864974407,1.7166348221705408
LinearRegression~p552,1.111568234105278,1.5109475797383705,1.3488148523959191,1.5113256907796015,4.059874382405052,1.5025795222262697,2.726751239387114,3.747899732726454,-0.0,-0.0,1.845434572454597,2.750033603340872
LinearRegression~p324,-0.2674468784681934,0.6016422743965281,0.24094515828253946,0.600432849228796,0.3251337563942436,0.6178188769312808,-0.194418945610213,0.578887318154554,-0.0,-0.0,0.5520400371446611,0.47936699739906463
LinearRegression~p344,0.4042179867836625,1.05764704916357,0.7442004674789022,1.0579840959456928,1.1202003596606258,1.0626438816219674,0.32027627069816056,1.303673717358334,-0.0,-0.0,0.8478529420378633,1.1742349498932194
LinearRegression~p543,-0.2674468784681934,-0.5782950024208576,-0.5612210254817149,-0.5802492797038182,0.0321366935592476,-0.5646258821503605,-0.194418945610213,0.3263557574020673,-0.0,-0.0,0.4489722993318767,-0.37232319043698625
LinearRegression~p129,-0.24541830433864661,1.5084933794482562,1.3452752366815117,1.5088835905629772,-0.15204012822025068,1.515588987996311,-0.1488545476692556,-0.16415934701289406,-0.0,-0.0,0.24877442297770713,0.9318433115704804
LinearRegression~p194,0.6502268120371891,0.3280929953600892,-0.009480497212573729,0.3258343526031481,1.0077656964641126,0.3367143892703647,0.7893520775262581,1.25329191803208,-0.0,-0.0,0.8272902128961217,0.7040750839567145
LinearRegression~p1022,-0.2505253984250132,-0.1284281486340328,-0.341105014034575,-0.13226694349123638,-0.35398834828145676,-0.12888923419933995,-0.16249646345903876,-0.3358542227825942,-0.0,-0.0,0.1786992118361794,-0.28295859116322863
LinearRegression~p219,1.057423918253564,0.32206702597344905,-0.01422290420390534,0.32018890594101806,1.341718661382899,0.31986520318922457,0.7825877642030495,1.5630106497628713,-0.0,-0.0,0.9536982109404729,0.8424944957014646
LinearRegression~p78,-0.2674468784681934,1.6902402674069719,1.6178647461025797,1.6911483382884198,0.6597616228460493,1.6833814045620885,-0.194418945610213,0.8727748340452939,-0.0,-0.0,0.6719867136868684,1.3899671439989763
LinearRegression~p1020,-0.23973579251421862,-0.302412655976141,-0.43886562636364396,-0.3063244315381847,-0.40913760013904427,-0.3087457711316414,-0.17121149221014645,-0.4058305274492666,-0.0,-0.0,0.15013921956827792,-0.4141428698120472
LinearRegression~p631,0.10815803942769814,-0.2376590859727714,-0.4033998950334862,-0.23991268640594784,-0.07162159691795099,-0.22278550917328566,-0.0889425308540136,0.1670977439361917,-0.0,-0.0,0.3839730448720592,-0.17140082588293754
LinearRegression~p218,-0.21278248958531418,-0.6753801149500528,-0.595781606671689,-0.678683583641986,-0.4799869717968634,-0.6668073278110367,-0.18520002243016667,-0.5324553606853805,-0.0,-0.0,0.09845880752917077,-0.6687304549274865
LinearRegression~p426,-0.031526899677231206,-0.780824427486666,-0.6271790568160179,-0.7837357301086382,-0.4780913744811721,-0.7689450434079973,-0.1687391598795723,-0.49905076560805633,-0.0,-0.0,0.11209249369858543,-0.7059119091209897
LinearRegression~p402,-0.2674468784681934,0.10612280629265308,-0.182831158651411,0.10494808005316088,-0.37752298244358046,0.10298487931442309,-0.194418945610213,-0.36665731113079353,-0.0,-0.0,0.16612729954040123,-0.14700543348686299
LinearRegression~p709,-0.22478640190151147,-0.3383558500617806,-0.45695217705193714,-0.3419390051773672,-0.3310278887029646,-0.3365932608143308,-0.17282384718114713,-0.30805993692116257,-0.0,-0.0,0.19004311736356566,-0.40266723066238524
LinearRegression~p881,-0.2674468784681934,-0.3783372518103289,-0.47586158152083863,-0.38062670979999197,-0.34001896388548586,-0.3819758512561366,-0.194418945610213,-0.21306825003388455,-0.0,-0.0,0.2288128388562709,-0.416912473561845
LinearRegression~p621,-0.2674468784681934,-0.444193328366693,-0.5065993211476973,-0.44719391430723526,-0.4321292405428765,-0.42952752573319175,-0.194418945610213,-0.3877021813088751,-0.0,-0.0,0.15753808734310068,-0.5013115809799377
LinearRegression~p272,-0.22532495475535683,0.3656952148877914,0.022386163024352847,0.36327608335913286,-0.16670178506620534,0.3579614487726995,-0.13009245142012704,-0.16909226116852172,-0.0,-0.0,0.24676111303208997,0.10431575313707321
LinearRegression~p735,-0.17476796646901807,-0.9588732475825897,-0.6668392984265279,-0.958385089956913,-0.514569906904481,-0.9425951626790373,-0.1915345759060212,-0.6423465084750754,-0.0,-0.0,0.053608049174117614,-0.8517765822911391
LinearRegression~p337,-0.1836421839755325,1.3075939654039945,1.063971018714527,1.3075361811589508,0.005310219626713484,1.301915043437559,-0.03723867577577113,-0.06378728533835056,-0.0,-0.0,0.28974008012398367,0.8370134733480544
LinearRegression~p166,-0.2674468784681934,-1.0185537700514022,-0.6770453286046118,-1.0196722636505149,-0.5249806965800679,-1.026412691620419,-0.194418945610213,-0.7025666334641172,-0.0,-0.0,0.029029925018352852,-0.9102613607395068
LinearRegression~p579,-0.2674468784681934,-0.8311965845555745,-0.6402458532840515,-0.8341943723379137,-0.4605888215574294,-0.8414672601322045,-0.194418945610213,-0.4494329071770452,-0.0,-0.0,0.13234342949592,-0.7482091714867878
LinearRegression~p745,-0.2674468784681934,-1.2232606535557564,-0.6966474620828343,-1.213814591767423,-0.5253494568557794,-1.2316565718526644,-0.194418945610213,-0.7164273884982341,-0.0,-0.0,0.023372823539683396,-1.022286435015391
LinearRegression~p76,-0.17577997649138838,2.656154234504424,3.3510747134906835,2.6590073317050655,0.5378130097716606,2.6726860452554995,0.16664890207251157,0.7481528043025296,-0.0,-0.0,0.6211237219524867,2.1967640538329003
LinearRegression~p549,-0.2674468784681934,0.14403655035868296,-0.1560691693276886,0.1412396200821901,-0.2524526080152665,0.15076537759516892,-0.194418945610213,-0.23640106770037778,-0.0,-0.0,0.2192898282412108,-0.07650314022239964
LinearRegression~p444,-0.19030061497470385,-0.2673702702705173,-0.4197657537742571,-0.27003338019676404,-0.3141120358037942,-0.24382644853477298,-0.16950880301054633,-0.29149444389368934,-0.0,-0.0,0.1968041253223632,-0.3460576313923859
LinearRegression~p984,0.3279963510817201,-0.004659763038141637,-0.2616971196788603,-0.007854671807144586,1.0016517943304457,-0.0028208889057336874,0.4296039026433776,1.289827587474879,-0.0,-0.0,0.8422018096396107,0.42757612865627703
LinearRegression~p545,-0.2674468784681934,-1.0663087204733825,-0.6832545978203074,-1.0642272700698794,-0.4960955102344205,-1.0787515675244475,-0.194418945610213,-0.5759233140587486,-0.0,-0.0,0.08071788196646158,-0.9082571522550033
LinearRegression~p462,-0.2674468784681934,-1.127835501096732,-0.6896052637841402,-1.1201436977999297,-0.5243593020663512,-1.1199091183093441,-0.194418945610213,-0.7004907265284384,-0.0,-0.0,0.029877181619202015,-0.9651275222905625
LinearRegression~p448,-0.2543627433606461,1.0245055022730576,0.7025861914522333,1.0235491052065362,-0.021677134256739,1.0113109531171647,-0.16317793766691024,-0.07787659673054334,-0.0,-0.0,0.28398969609987945,0.5998441949708265
LinearRegression~p93,-0.15965186103086973,-0.5532722493249771,-0.5515081093571993,-0.5548811660505318,-0.4849172410860766,-0.5599429852926344,-0.18125318952051706,-0.5219880410188672,-0.0,-0.0,0.10273091892695443,-0.5934426251238216
LinearRegression~p981,0.44249379131860467,-0.23228519608678858,-0.40106874619137967,-0.2356907935580031,0.48406903252532224,-0.2409114560347293,0.23081173828062118,0.7997837571386743,-0.0,-0.0,0.642196278167176,0.0958420992405713
LinearRegression~p875,-0.2674468784681934,-0.3380762644302027,-0.4565526452941637,-0.3411381890955721,-0.16892235938328667,-0.3374240456607622,-0.194418945610213,0.04420395564282909,-0.0,-0.0,0.3338154142262216,-0.3159892417623464
