,Explained Variance,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Mean Squared Log Error,Median Absolute Error,R-Squared,Mean Absolute Percentage Error,D-Squared Absolute Error Score,D-Squared Pinball Score,Raw Mean Absolute Percentage Error,Error Ensemble
LinearRegression~p469,-0.1749062796712039,0.452777529917876,0.1007688821299941,0.4506063871317962,-0.15969629721503395,0.4608828602414136,-0.12880558443443066,-0.16259672248655999,-0.0,-0.0,0.25075547482040045,0.18071467185763185
LinearRegression~p837,-0.08731839953118546,-0.17350101216030667,-0.3731076367506885,-0.17449218522149854,-0.35471727871581177,-0.18432744823144845,-0.17395433525677897,-0.3313908194294298,-0.0,-0.0,0.18299050271464923,-0.3014147928419563
LinearRegression~p829,-0.15976608504791487,-0.5651209880877863,-0.5667984859469234,-0.5686656030320554,-0.4602734381581758,-0.556906592262029,-0.19240829855419175,-0.4741796639734338,-0.0,-0.0,0.12566573696284775,-0.5918196626197255
LinearRegression~p890,1.3654527593128707,0.1708530067745414,-0.13726766300716525,0.16997381852004656,1.7081093533594305,0.16846379218909366,0.6681962695267497,1.9317280250938766,-0.0,-0.0,1.0915541796957715,0.8588334500940904
LinearRegression~p218,-0.1626737182230804,-0.6263067685351654,-0.5896369226593063,-0.6300276539296321,-0.48505938786239877,-0.6273802480734673,-0.1945842385875467,-0.5229794843990145,-0.0,-0.0,0.10607430260703368,-0.6437559159710636
LinearRegression~p57,0.22378864658510417,0.4416110791351522,0.09074969119050205,0.4397016199171144,2.0856800682176067,0.4480075959098128,1.015787198308219,2.222829791204823,-0.0,-0.0,1.2084214364169579,1.1221950001497054
LinearRegression~p287,-0.18491431247757936,-0.5902637355625432,-0.5761571460164344,-0.5931753543186918,-0.4585861985248156,-0.5864795995159827,-0.2061299906606204,-0.47122595233771897,-0.0,-0.0,0.12685154967921541,-0.6097490764584732
LinearRegression~p216,-0.16236328935485622,-1.2685539384678004,-0.7104116927603451,-1.2710724774170463,-0.5427583026952764,-1.2617688734232595,-0.20609109698559103,-0.7674456387364812,-0.0,-0.0,0.007929625574366305,-1.0633188445272257
LinearRegression~p492,-0.10305132030568723,-0.6408550720448095,-0.593762409146524,-0.6417119838558604,-0.5072485943383214,-0.6489815989788394,-0.19497729575330858,-0.5596862620594156,-0.0,-0.0,0.09133780524545244,-0.6596935251801019
LinearRegression~p203,-0.18491431247757936,-0.491591998813942,-0.5368090334760915,-0.49507245135517536,-0.4586287581293687,-0.4946833267976577,-0.2061299906606204,-0.471883913676972,-0.0,-0.0,0.12658740103534288,-0.551568312681491
